DATE,Housing_Auth
1/1/88,373.0915415
4/1/88,509.3058339
7/1/88,511.7115346
10/1/88,513.1041746
1/1/89,478.3826605
4/1/89,464.926355
7/1/89,484.424156
10/1/89,518.6591608
1/1/90,514.9809017
4/1/90,551.6832603
7/1/90,573.4494528
10/1/90,640.0604228
1/1/91,627.4403961
4/1/91,839.5894383
7/1/91,756.1993373
10/1/91,831.5945393
1/1/92,1043.276633
4/1/92,1138.291373
7/1/92,1444.858138
10/1/92,1267.890047
1/1/93,906.0203986
4/1/93,1508.646272
7/1/93,1750.199625
10/1/93,1685.724053
1/1/94,1836.832759
4/1/94,1619.93597
7/1/94,1211.190935
10/1/94,1538.967887
1/1/95,1610.637627
4/1/95,1335.400965
7/1/95,1895.398845
10/1/95,1781.500233
1/1/96,2062.963614
4/1/96,2012.506954
7/1/96,1789.825038
10/1/96,1472.493966
1/1/97,1359.350077
4/1/97,1652.884942
7/1/97,1606.083524
10/1/97,1948.523996
1/1/98,1776.354174
4/1/98,1710.943467
7/1/98,1513.7572
10/1/98,1715.470921
1/1/99,1532.276203
4/1/99,1430.418753
7/1/99,1457.855026
10/1/99,1307.842991
1/1/00,1403.103335
4/1/00,1397.85947
7/1/00,1301.882126
10/1/00,1360.036689
1/1/01,1359.50274
4/1/01,1342.289447
7/1/01,1511.510484
10/1/01,1472.043412
1/1/02,1569.567829
4/1/02,1500.086249
7/1/02,1680.20217
10/1/02,1608.148032
1/1/03,1638.363634
4/1/03,2200.398732
7/1/03,1752.139355
10/1/03,2028.730164
1/1/04,1776.096882
4/1/04,2058.833222
7/1/04,2124.900974
10/1/04,1900.405146
1/1/05,2555.662644
4/1/05,2213.323592
7/1/05,2025.671611
10/1/05,2167.834773
1/1/06,2239.512612
4/1/06,1941.305198
7/1/06,2016.993234
10/1/06,1992.149611
1/1/07,1992.8427
4/1/07,1821.330232
7/1/07,1980.510397
10/1/07,1209.252622
1/1/08,1003.885098
4/1/08,1152.791186
7/1/08,1026.269879
10/1/08,983.1389368
1/1/09,1101.854765
4/1/09,947.6115603
7/1/09,964.5828236
10/1/09,719.5276632
1/1/10,709.5025514
4/1/10,863.6425385
7/1/10,605.5985455
10/1/10,574.090276
1/1/11,618.6733979
4/1/11,573.9001333
7/1/11,843.6638276
10/1/11,939.0990708
1/1/12,967.8707135
4/1/12,947.7340101
7/1/12,1060.341149
10/1/12,1142.213549
1/1/13,1086.488991
4/1/13,1259.321139
7/1/13,1325.413245
10/1/13,1423.674811
1/1/14,1847.166977
4/1/14,1244.502516
7/1/14,1213.174496
10/1/14,1355.680939
1/1/15,1157.578197
4/1/15,1822.890208
7/1/15,1942.792934
10/1/15,1481.858079
1/1/16,1779.8276
4/1/16,1788.071318
7/1/16,1563.087139
10/1/16,2541.689687
1/1/17,1851.2808
4/1/17,1842.771671
7/1/17,2292.848464
10/1/17,2227.263675
1/1/18,3052.761737
4/1/18,1935.660315
7/1/18,1951.017905
10/1/18,1948.644133
1/1/19,1961.800447
4/1/19,2481.848607
7/1/19,2148.487152
10/1/19,2608.460496
1/1/20,2515.991064
4/1/20,2065.305477
7/1/20,2446.7021
10/1/20,2760.372636
1/1/21,3321.69047
4/1/21,3895.142475
7/1/21,3724.416734
10/1/21,2223.051694