Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Median_Income,Rental_Vac_Rate,Consumption_HH,Income_Ineq_SL,SNAP,Educ_Attain,Net_Mig_Flow_UT_County,Percent_Single,Med_Income_SL,GDP,Population
8,32226,1/1/10,323.64,67461,7.2,74655.6,10.90064516,232939,29.3,3300,21.7395215,56664,116383.5,2775.413
8,32226,4/1/10,318.97,67461,7.2,74655.6,10.90064516,260723,29.3,3300,21.7395215,56664,116819.7,2775.413
7.9,32226,7/1/10,321.7,67461,7.2,74655.6,10.90064516,262628,29.3,3300,21.7395215,56664,119234,2775.413
7.9,32226,10/1/10,319.98,67461,7.2,74655.6,10.90064516,271868,29.3,3300,21.7395215,56664,122242,2775.413
7.8,34232,1/1/11,305.77,64006,6.4,78041.7,11.26752994,286598,29.7,1839,22.08024849,56166,123234.6,2814.797
7.7,34232,4/1/11,299.17,64006,6.4,78041.7,11.26752994,283704,29.7,1839,22.08024849,56166,125661.1,2814.797
7.4,34232,7/1/11,304.66,64006,6.4,78041.7,11.26752994,279293,29.7,1839,22.08024849,56166,126310.4,2814.797
6.2,34232,10/1/11,306.04,64006,6.4,78041.7,11.26752994,285695,29.7,1839,22.08024849,56166,127053.8,2814.797
5.3,36085,1/1/12,305.3,65895,7.7,81993,11.75658111,285527,30.7,2010.25,23.28403859,58743,129079.6,2854.146
4.8,36085,4/1/12,303.69,65895,7.7,81993,11.75658111,280865,30.7,2010.25,23.28403859,58743,129035,2854.146
4.8,36085,7/1/12,310.09,65895,7.7,81993,11.75658111,257736,30.7,2010.25,23.28403859,58743,129025.8,2854.146
4.6,36085,10/1/12,315.44,65895,7.7,81993,11.75658111,257744,30.7,2010.25,23.28403859,58743,130909.6,2854.146
4.5,36628,1/1/13,318.24,67945,6.7,85430.1,11.85627925,261426,31.3,2545.25,23.13733763,61716,133362.7,2898.773
4.3,36628,4/1/13,327.2,67945,6.7,85430.1,11.85627925,252378,31.3,2545.25,23.13733763,61716,134422.1,2898.773
4.2,36628,7/1/13,334.77,67945,6.7,85430.1,11.85627925,241380,31.3,2545.25,23.13733763,61716,136800.1,2898.773
4,36628,10/1/13,339.18,67945,6.7,85430.1,11.85627925,236449,31.3,2545.25,23.13733763,61716,137216.6,2898.773
3.8,38328,1/1/14,341.29,69370,8.6,90175.4,12.06854424,228503,31.1,2387.75,23.55964036,62536,139570.1,2938.327
3.6,38328,4/1/14,347.66,69370,8.6,90175.4,12.06854424,230361,31.1,2387.75,23.55964036,62536,141655.3,2938.327
3.6,38328,7/1/14,351.56,69370,8.6,90175.4,12.06854424,225880,31.1,2387.75,23.55964036,62536,142978.9,2938.327
3.6,38328,10/1/14,355.62,69370,8.6,90175.4,12.06854424,226927,31.1,2387.75,23.55964036,62536,144396.2,2938.327
3.6,40668,1/1/15,359.16,72392,5.1,94726.6,12.02445431,227251,31.8,1891,23.9206358,65549,146212,2983.626
3.5,40668,4/1/15,365.08,72392,5.1,94726.6,12.02445431,227497,31.8,1891,23.9206358,65549,148557.2,2983.626
3.5,40668,7/1/15,372.31,72392,5.1,94726.6,12.02445431,223055,31.8,1891,23.9206358,65549,149985.2,2983.626
3.5,40668,10/1/15,377.29,72392,5.1,94726.6,12.02445431,222981,31.8,1891,23.9206358,65549,151859.1,2983.626
3.5,42008,1/1/16,382.87,72789,5.7,100033.9,11.9122807,221443,32.6,1902.5,23.65353413,68404,154696,3044.241
3.4,42008,4/1/16,391.52,72789,5.7,100033.9,11.9122807,221948,32.6,1902.5,23.65353413,68404,156826.7,3044.241
3.3,42008,7/1/16,400.58,72789,5.7,100033.9,11.9122807,216446,32.6,1902.5,23.65353413,68404,158879.5,3044.241
3.2,42008,10/1/16,405.27,72789,5.7,100033.9,11.9122807,212903,32.6,1902.5,23.65353413,68404,160907.1,3044.241
3.2,43711,1/1/17,412.49,73694,6.2,106375.8,11.85694234,210310,34.6,1922.25,23.17259764,71396,164237.3,3103.54
3.2,43711,4/1/17,426.1,73694,6.2,106375.8,11.85694234,206621,34.6,1922.25,23.17259764,71396,166217.4,3103.54
3.2,43711,7/1/17,436.04,73694,6.2,106375.8,11.85694234,199143,34.6,1922.25,23.17259764,71396,168905.2,3103.54
3.1,43711,10/1/17,441.84,73694,6.2,106375.8,11.85694234,196886,34.6,1922.25,23.17259764,71396,172873.6,3103.54
3,46377,1/1/18,451.13,79443,5.4,113863.9,11.88016529,193618,34.9,1808.25,23.05630867,73619,178186.8,3155.153
2.9,46377,4/1/18,466.14,79443,5.4,113863.9,11.88016529,188587,34.9,1808.25,23.05630867,73619,182401.7,3155.153
2.9,46377,7/1/18,475.78,79443,5.4,113863.9,11.88016529,181859,34.9,1808.25,23.05630867,73619,184361.2,3155.153
2.9,46377,10/1/18,481.94,79443,5.4,113863.9,11.88016529,178812,34.9,1808.25,23.05630867,73619,185624.5,3155.153
2.8,49115,1/1/19,490.14,85578,3.8,119970.1,11.71761303,174116,34.8,2086.25,23.07680206,79941,192650.4,3203.383
2.6,49115,4/1/19,500.11,85578,3.8,119970.1,11.71761303,170989,34.8,2086.25,23.07680206,79941,194484.7,3203.383
2.5,49115,7/1/19,508.21,85578,3.8,119970.1,11.71761303,168361,34.8,2086.25,23.07680206,79941,196101.2,3203.383
2.4,49115,10/1/19,515.64,85578,3.8,119970.1,11.71761303,165374,34.8,2086.25,23.07680206,79941,197117.2,3203.383